Generating synthetic dataset ...
Train: (2000, 1, 16, 16)  Val: (400, 1, 16, 16)
Config: {'conv_layers': [(8, 3, 1)], 'pool_size': 2, 'pool_stride': 2, 'dense_layers': [64], 'n_classes': 10, 'batch_size': 32, 'n_epochs': 3, 'lr': 0.001, 'weight_decay': 0.0001, 'seed': 42, 'input_shape': (1, 16, 16)}

Epoch   1 | loss 0.4992 | val acc 1.0000
Epoch   2 | loss 0.0270 | val acc 1.0000
Epoch   3 | loss 0.0097 | val acc 1.0000

Final val accuracy: 1.0000
         568786 function calls (566246 primitive calls) in 1.856 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      350    0.000    0.000    0.008    0.000 function_base.py:490(add_newdoc)
      834    0.001    0.000    0.008    0.000 {method 'sum' of 'numpy.ndarray' objects}
      117    0.008    0.000    0.008    0.000 {built-in method marshal.loads}
  286/283    0.003    0.000    0.008    0.000 {built-in method builtins.__build_class__}
  159/142    0.000    0.000    0.008    0.000 typing.py:396(inner)
      373    0.004    0.000    0.008    0.000 inspect.py:790(cleandoc)
      456    0.001    0.000    0.007    0.000 _arraypad_impl.py:471(_as_pairs)
      834    0.000    0.000    0.007    0.000 _methods.py:47(_sum)
      350    0.000    0.000    0.007    0.000 function_base.py:474(_add_docstring)
     1206    0.004    0.000    0.006    0.000 <frozen importlib._bootstrap_external>:101(_path_join)
        2    0.000    0.000    0.006    0.003 argparse.py:195(_set_color)
        1    0.000    0.000    0.006    0.006 secrets.py:1(<module>)
        1    0.000    0.000    0.005    0.005 _npyio_impl.py:1(<module>)
        1    0.000    0.000    0.005    0.005 shape_base.py:1(<module>)
      264    0.000    0.000    0.005    0.000 overrides.py:145(decorator)
      228    0.004    0.000    0.005    0.000 _arraypad_impl.py:87(_pad_simple)
        1    0.000    0.000    0.005    0.005 _array_like.py:1(<module>)
        1    0.000    0.000    0.005    0.005 fromnumeric.py:1(<module>)
        1    0.000    0.000    0.004    0.004 _colorize.py:1(<module>)
        1    0.000    0.000    0.004    0.004 _char_codes.py:1(<module>)
       50    0.000    0.000    0.004    0.000 typing.py:570(__getitem__)
      380    0.000    0.000    0.004    0.000 <frozen importlib._bootstrap>:466(_lock_unlock_module)
      532    0.001    0.000    0.004    0.000 <frozen importlib._bootstrap>:304(acquire)
        5    0.000    0.000    0.004    0.001 dataclasses.py:1431(wrap)
        5    0.000    0.000    0.004    0.001 dataclasses.py:986(_process_class)
      135    0.000    0.000    0.004    0.000 typing.py:1341(__init__)
      117    0.004    0.000    0.004    0.000 {method 'read' of '_io.BufferedReader' objects}
       50    0.000    0.000    0.004    0.000 typing.py:749(Literal)
        1    0.000    0.000    0.004    0.004 _pickle.py:1(<module>)
      172    0.000    0.000    0.004    0.000 <frozen importlib._bootstrap_external>:155(_path_is_mode_type)
      160    0.000    0.000    0.004    0.000 <frozen importlib._bootstrap_external>:164(_path_isfile)
        1    0.000    0.000    0.004    0.004 format.py:1(<module>)
        1    0.000    0.000    0.003    0.003 _methods.py:1(<module>)
      912    0.003    0.000    0.003    0.000 _arraypad_impl.py:130(_set_pad_area)
    14592    0.003    0.000    0.003    0.000 {method 'squeeze' of 'numpy.ndarray' objects}
      228    0.000    0.000    0.003    0.000 _stride_tricks_impl.py:400(broadcast_to)
        1    0.000    0.000    0.003    0.003 _format_impl.py:1(<module>)
23338/23334    0.003    0.000    0.003    0.000 {built-in method builtins.getattr}
      234    0.001    0.000    0.003    0.000 <frozen importlib._bootstrap_external>:239(cache_from_source)
       70    0.000    0.000    0.003    0.000 typing.py:1370(__getitem__)
      228    0.002    0.000    0.003    0.000 _stride_tricks_impl.py:373(_broadcast_to)
      189    0.000    0.000    0.003    0.000 {method 'mean' of 'numpy.ndarray' objects}
      189    0.001    0.000    0.003    0.000 _methods.py:115(_mean)
      146    0.000    0.000    0.003    0.000 <frozen importlib._bootstrap>:736(_init_module_attrs)
       53    0.000    0.000    0.003    0.000 _add_newdocs.py:3381(_array_method_doc)
       19    0.000    0.000    0.003    0.000 __init__.py:330(_compile)
        1    0.000    0.000    0.003    0.003 _utils_impl.py:1(<module>)
       17    0.000    0.000    0.002    0.000 __init__.py:287(compile)
        1    0.000    0.000    0.002    0.002 _dtype_like.py:1(<module>)
      144    0.001    0.000    0.002    0.000 typing.py:260(_collect_type_parameters)
        1    0.000    0.000    0.002    0.002 numerictypes.py:1(<module>)
       16    0.000    0.000    0.002    0.000 _compiler.py:757(compile)
        5    0.000    0.000    0.002    0.000 dataclasses.py:478(add_fns_to_class)
        1    0.000    0.000    0.002    0.002 bz2.py:1(<module>)
      152    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap>:419(__enter__)
      189    0.002    0.000    0.002    0.000 cnn.py:249(backward)
       23    0.000    0.000    0.002    0.000 overrides.py:184(decorator)
      117    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:966(path_stats)
      191    0.001    0.000    0.002    0.000 cnn.py:319(get_params_and_grads)
      532    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap>:162(__enter__)
      251    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap>:635(cached)
        1    0.000    0.000    0.002    0.002 hmac.py:1(<module>)
      277    0.001    0.000    0.002    0.000 typing.py:184(_type_check)
      134    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:369(_get_cached)
        1    0.000    0.000    0.002    0.002 typing.py:1(<module>)
      229    0.000    0.000    0.002    0.000 overrides.py:86(verify_matching_signatures)
        1    0.000    0.000    0.002    0.002 platform.py:1(<module>)
    16794    0.002    0.000    0.002    0.000 {built-in method builtins.isinstance}
       70    0.000    0.000    0.002    0.000 typing.py:1401(_determine_new_args)
21927/21854    0.002    0.000    0.002    0.000 {built-in method builtins.len}
        1    0.000    0.000    0.002    0.002 pickle.py:1(<module>)
       70    0.000    0.000    0.002    0.000 typing.py:1430(_make_substitution)
        1    0.000    0.000    0.002    0.002 _polynomial_impl.py:1(<module>)
       28    0.000    0.000    0.001    0.000 inspect.py:3319(signature)
       28    0.000    0.000    0.001    0.000 inspect.py:3032(from_callable)
      532    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:124(setdefault)
1084/1041    0.001    0.000    0.001    0.000 {built-in method __new__ of type object at 0x00007FFC248F4D90}
    36/28    0.000    0.000    0.001    0.000 inspect.py:2413(_signature_from_callable)
       16    0.000    0.000    0.001    0.000 _parser.py:963(parse)
    14592    0.001    0.000    0.001    0.000 fromnumeric.py:1217(_argmax_dispatcher)
      532    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:372(release)
    36/16    0.000    0.000    0.001    0.000 _parser.py:452(_parse_sub)
       12    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:1408(_fill_cache)
      104    0.000    0.000    0.001    0.000 typing.py:1037(_typevar_subst)
    42/16    0.001    0.000    0.001    0.000 _parser.py:512(_parse)
    14834    0.001    0.000    0.001    0.000 multiarray.py:1085(copyto)
        1    0.000    0.000    0.001    0.001 _globals.py:1(<module>)
    14832    0.001    0.000    0.001    0.000 numeric.py:91(_zeros_like_dispatcher)
        1    0.000    0.000    0.001    0.001 _function_base_impl.py:1(<module>)
      458    0.000    0.000    0.001    0.000 _inspect.py:97(getargspec)
      289    0.001    0.000    0.001    0.000 functools.py:35(update_wrapper)
     1201    0.001    0.000    0.001    0.000 typing.py:1286(__setattr__)
        1    0.000    0.000    0.001    0.001 textwrap.py:1(<module>)
       24    0.000    0.000    0.001    0.000 {method '__typing_subst__' of 'typing.TypeVar' objects}
        1    0.000    0.000    0.001    0.001 textwrap.py:17(TextWrapper)
       14    0.000    0.000    0.001    0.000 __init__.py:361(namedtuple)
      228    0.000    0.000    0.001    0.000 {method 'min' of 'numpy.ndarray' objects}
      117    0.001    0.000    0.001    0.000 {method '__exit__' of '_io._IOBase' objects}
    14832    0.001    0.000    0.001    0.000 multiarray.py:115(empty_like)
        8    0.000    0.000    0.001    0.000 typing.py:2965(__new__)
       28    0.000    0.000    0.001    0.000 inspect.py:2307(_signature_from_function)
      134    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:1352(_get_spec)
        1    0.000    0.000    0.001    0.001 _add_newdocs_scalars.py:1(<module>)
      288    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:1233(_path_importer_cache)
       70    0.000    0.000    0.001    0.000 typing.py:1492(copy_with)
       46    0.000    0.000    0.001    0.000 <frozen abc>:105(__new__)
     9131    0.001    0.000    0.001    0.000 {method 'lstrip' of 'str' objects}
      228    0.000    0.000    0.001    0.000 fromnumeric.py:3582(round)
      228    0.000    0.000    0.001    0.000 _methods.py:43(_amin)
     6473    0.001    0.000    0.001    0.000 {method 'append' of 'list' objects}
       90    0.000    0.000    0.001    0.000 typing.py:1727(__hash__)
        1    0.000    0.000    0.001    0.001 fnmatch.py:1(<module>)
       12    0.001    0.000    0.001    0.000 {built-in method nt.listdir}
      532    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:429(_get_module_lock)
       12    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:1220(_path_hooks)
        1    0.000    0.000    0.001    0.001 _twodim_base_impl.py:1(<module>)
     1831    0.000    0.000    0.001    0.000 typing.py:1026(_is_unpacked_typevartuple)
       16    0.000    0.000    0.001    0.000 _compiler.py:590(_code)
      134    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:560(spec_from_file_location)
        1    0.000    0.000    0.001    0.001 warnings.py:1(<module>)
      189    0.001    0.000    0.001    0.000 _methods.py:73(_count_reduce_items)
       53    0.000    0.000    0.001    0.000 textwrap.py:416(dedent)
        1    0.001    0.001    0.001    0.001 base64.py:1(<module>)
      171    0.000    0.000    0.001    0.000 typing.py:1225(__init__)
        1    0.000    0.000    0.001    0.001 random.py:1(<module>)
      234    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:137(_path_split)
        1    0.000    0.000    0.001    0.001 _type_check_impl.py:1(<module>)
      912    0.001    0.000    0.001    0.000 _arraypad_impl.py:59(_view_roi)
     1824    0.001    0.000    0.001    0.000 _arraypad_impl.py:34(_slice_at_axis)
        1    0.000    0.000    0.001    0.001 _arraysetops_impl.py:1(<module>)
        1    0.000    0.000    0.001    0.001 <frozen importlib._bootstrap>:1174(exec_module)
      456    0.001    0.000    0.001    0.000 {built-in method numpy.asarray}
     3102    0.001    0.000    0.001    0.000 {built-in method builtins.hasattr}
        5    0.000    0.000    0.001    0.000 enum.py:480(__new__)
     1452    0.000    0.000    0.001    0.000 typing.py:1212(_is_dunder)
      191    0.000    0.000    0.001    0.000 cnn.py:316(_param_layers)
        2    0.000    0.000    0.001    0.000 _colorize.py:274(can_colorize)
       39    0.000    0.000    0.001    0.000 cnn.py:256(predict)
     5420    0.001    0.000    0.001    0.000 {method 'endswith' of 'str' objects}
      248    0.001    0.000    0.001    0.000 {method 'astype' of 'numpy.ndarray' objects}
        1    0.000    0.000    0.001    0.001 lzma.py:1(<module>)
     2031    0.001    0.000    0.001    0.000 {method 'join' of 'str' objects}
     5224    0.001    0.000    0.001    0.000 typing.py:1717(<genexpr>)
    69/16    0.000    0.000    0.001    0.000 _compiler.py:39(_compile)
        1    0.000    0.000    0.001    0.001 <frozen posixpath>:1(<module>)
       14    0.001    0.000    0.001    0.000 {built-in method builtins.eval}
        1    0.000    0.000    0.001    0.001 scimath.py:1(<module>)
        1    0.000    0.000    0.001    0.001 overrides.py:1(<module>)
     4823    0.001    0.000    0.001    0.000 {method 'startswith' of 'str' objects}
        2    0.001    0.000    0.001    0.000 {built-in method nt._supports_virtual_terminal}
      230    0.001    0.000    0.001    0.000 {built-in method numpy.empty}
    18/14    0.000    0.000    0.001    0.000 annotationlib.py:697(call_annotate_function)
        1    0.000    0.000    0.001    0.001 array_utils.py:1(<module>)
        8    0.000    0.000    0.001    0.000 typing.py:2934(_make_nmtuple)
      686    0.001    0.000    0.001    0.000 {built-in method numpy.array}
      458    0.000    0.000    0.001    0.000 _inspect.py:66(getargs)
     6959    0.001    0.000    0.001    0.000 {built-in method builtins.min}
       14    0.000    0.000    0.001    0.000 typing.py:1977(__new__)
        1    0.000    0.000    0.001    0.001 printoptions.py:1(<module>)
      152    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:423(__exit__)
       27    0.000    0.000    0.001    0.000 _add_newdocs_scalars.py:76(add_newdoc_for_scalar_type)
        1    0.000    0.000    0.001    0.001 cnn.py:280(__init__)
     3856    0.000    0.000    0.000    0.000 {method 'rstrip' of 'str' objects}
      146    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:190(_path_abspath)
      532    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:74(__new__)
      298    0.000    0.000    0.000    0.000 {built-in method builtins.max}
    93/33    0.000    0.000    0.000    0.000 annotationlib.py:907(get_annotations)
        3    0.000    0.000    0.000    0.000 cnn.py:15(he_init)
        2    0.000    0.000    0.000    0.000 cnn.py:208(__init__)
      433    0.000    0.000    0.000    0.000 {method 'split' of 'str' objects}
       12    0.000    0.000    0.000    0.000 <frozen zipimport>:67(__init__)
      146    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:177(_path_isabs)
      189    0.000    0.000    0.000    0.000 cnn.py:199(backward)
      117    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:424(_classify_pyc)
      228    0.000    0.000    0.000    0.000 {method 'round' of 'numpy.ndarray' objects}
     2006    0.000    0.000    0.000    0.000 {built-in method builtins.setattr}
        8    0.000    0.000    0.000    0.000 dataclasses.py:541(__annotate__)
     1065    0.000    0.000    0.000    0.000 {method '__enter__' of '_thread.RLock' objects}
        3    0.000    0.000    0.000    0.000 __init__.py:188(_safe_realpath)
       12    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1449(path_hook_for_FileFinder)
        3    0.000    0.000    0.000    0.000 <frozen ntpath>:661(realpath)
        3    0.000    0.000    0.000    0.000 _py_warnings.py:254(filterwarnings)
       34    0.000    0.000    0.000    0.000 enum.py:239(__set_name__)
      117    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:457(_validate_timestamp_pyc)
      532    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:82(remove)
      351    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:89(_unpack_uint32)
     16/8    0.000    0.000    0.000    0.000 annotationlib.py:1114(_get_and_call_annotate)
      532    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:79(__init__)
       13    0.000    0.000    0.000    0.000 typing.py:1113(_generic_class_getitem)
     1890    0.000    0.000    0.000    0.000 einsumfunc.py:1236(_einsum_dispatcher)
     1140    0.000    0.000    0.000    0.000 _arraypad_impl.py:121(<genexpr>)
     1304    0.000    0.000    0.000    0.000 {method 'get' of 'dict' objects}
      150    0.000    0.000    0.000    0.000 __init__.py:101(find_spec)
      150    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:985(find_spec)
       25    0.000    0.000    0.000    0.000 dtypes.py:30(_add_dtype_helper)
       69    0.000    0.000    0.000    0.000 enum.py:342(__setitem__)
       36    0.000    0.000    0.000    0.000 typing.py:1541(__init__)
        8    0.000    0.000    0.000    0.000 {built-in method nt._getfinalpathname}
        1    0.000    0.000    0.000    0.000 _nanfunctions_impl.py:1(<module>)
